horizon,mse,rmse,mae,mape,mdape,smape,coverage
150 days,103182.13598791542,321.2197627605055,258.4279224355564,0.10708653356656003,0.07705883706730574,0.10567275797390056,0.375
151 days,127158.77214248425,356.59328673221574,286.74197196305806,0.1121768823769032,0.09278895623915291,0.11130507706417207,0.35
152 days,138385.68557757864,372.0022655543628,304.3334332529331,0.11540658100488359,0.11198925865953244,0.11486195640859305,0.3
153 days,163521.71182716667,404.37817921738394,326.90414221445116,0.1186495960983928,0.11331072018032351,0.11855238768808947,0.275
173 days,130332.37445895575,361.015753754536,281.45681314360456,0.11316909953736062,0.0979398226003495,0.11195716752401774,0.25
174 days,123946.40336105446,352.0602268945677,262.45698635593243,0.10575094622773788,0.07558897598828845,0.10482889846922643,0.3
175 days,123942.91068129751,352.05526651549684,262.4748655732236,0.10482267123648459,0.07558897598828845,0.1040199656054885,0.3
176 days,199950.256698689,447.1579773398759,320.30047045467325,0.1823272315010581,0.0979398226003495,0.14578525097111877,0.3
177 days,225587.61362255522,474.9606442880875,361.4828757984525,0.20717189402233127,0.12396640110678595,0.1665331524744943,0.275
178 days,226231.3715403132,475.6378575558439,362.0555965753075,0.20548216567818733,0.12396640110678595,0.16598880081323944,0.25
179 days,214801.21611418924,463.46652102842256,348.5512532855476,0.19146203827833747,0.12396640110678595,0.1553396095242724,0.25
180 days,217170.75741670484,466.0158338690917,354.6088478124359,0.19229943624742488,0.12396640110678595,0.1562409553710704,0.225
181 days,222891.29639723763,472.1136477557471,365.0033036878617,0.19402173606299683,0.1232829263416971,0.15813956049633,0.2
182 days,263598.2601461971,513.4182117399004,403.6094407481367,0.19785634766378413,0.12554379095736104,0.1624927264631774,0.175
183 days,284077.0097316402,532.9887519747863,425.015317292802,0.20031064084054137,0.1262792744589441,0.16521888496337572,0.15
203 days,258697.44638887403,508.62308872963484,395.0015176633207,0.19684050900273692,0.12554379095736104,0.16088814378913946,0.15
204 days,216149.39823982498,464.918700677683,340.60564885704855,0.19080329137966506,0.11601129772742674,0.15320248357671698,0.2
205 days,215926.28782759287,464.67869310696057,339.5053541910894,0.18966628956931916,0.11601129772742674,0.15213912782494482,0.2
206 days,270753.9099371095,520.3401867404722,390.81340856549025,0.23890635740099855,0.12559579969385526,0.18426728338339937,0.175
207 days,321728.5877080295,567.2112372899795,438.379615783005,0.27469217242313304,0.131353351596321,0.2097755131179635,0.15
208 days,272463.5399077652,521.9804018426029,424.5935808157992,0.21946862289201335,0.13699244209216416,0.18875934597391114,0.15
209 days,254058.14205434904,504.0418058597412,395.24441704358605,0.1956968046938538,0.131353351596321,0.17047833044800928,0.2
210 days,254296.13343423037,504.27783357414233,398.7816133320921,0.19702565574456612,0.12559579969385526,0.1718007662314061,0.225
211 days,267667.3313991857,517.3657617191011,421.68442715047274,0.2018023394811727,0.13371320529531425,0.17699826524825094,0.175
212 days,291430.2535462508,539.8428044776098,445.44104316230585,0.20456145402333098,0.13816068825978695,0.18014289305707817,0.15
213 days,294239.8375437689,542.4387869094253,449.1384083486096,0.2044995006270355,0.13816068825978695,0.1800737713990957,0.15
214 days,323018.9698784527,568.3475784046702,471.2486480578009,0.20692387917364302,0.14326731936311787,0.18290497404242662,0.15
234 days,272998.1665228557,522.4922645579126,417.6163900149274,0.2056314812863071,0.13816068825978695,0.17892785550823745,0.15
235 days,247871.01042764826,497.86645842800885,384.7800646605768,0.19983634092992644,0.13426442936797656,0.17262072847175927,0.2
236 days,247329.88543509552,497.32271759401414,383.0317567851766,0.19732959211062,0.12144909349770994,0.17040065618043088,0.175
237 days,277942.6543408549,527.2026691329008,417.51795554763464,0.22489087722159268,0.13426442936797656,0.19057935121353137,0.15
238 days,279621.8880845312,528.7928593358,436.80573056180253,0.22657568587804203,0.14864067617944096,0.19651685024572904,0.15
239 days,210295.2390011941,458.5795885134816,382.317434379916,0.17303589755646637,0.14864067617944096,0.16282214571479742,0.2
240 days,190801.39127475204,436.8081859062992,357.50916736289963,0.15636341429668638,0.1301322597024224,0.14833782566088696,0.25
241 days,190636.3224767546,436.61919618444927,361.5022959728217,0.15686511685568388,0.12144909349770994,0.1487145518395272,0.225
242 days,204481.2307684589,452.19600923544084,380.3454196278934,0.16100358015449223,0.1301322597024224,0.1532837357057598,0.2
243 days,251053.26722578396,501.05216018472964,423.7043230969437,0.16666793671088512,0.14864067617944096,0.1598374297204398,0.15
244 days,290325.6334491541,538.8187389550906,451.2024645436215,0.16912207516883163,0.16426303028639114,0.16273307713324572,0.15
264 days,263627.9876885671,513.447161535213,420.4551083316437,0.16553731960909662,0.15020209677384527,0.15828476002019615,0.15
