date,yhat_lakh,yhat_lower_lakh,yhat_upper_lakh,trend_lakh,actual_lakh
2020-06-01,581.0012137644532,559.792376590447,602.3904183255997,597.8776194533847,572.89033
2020-07-01,584.9792926281285,562.3695695854007,607.6978536313412,605.9777770309263,576.32047
2020-08-01,590.7102383518751,568.339010939181,611.6887348190572,614.3479398610525,578.30597
2020-09-01,599.4386159360872,580.2721565250766,621.3379939168665,622.7181026911788,586.94212
2020-10-01,607.0219174570865,584.9099130007941,628.7365778620463,630.8182602687205,594.19834
2020-11-01,617.5607931097004,596.7135906038824,637.6688744731208,639.1884230988466,601.13014
2020-12-01,612.3492633643511,590.4148469924653,634.0133555206957,647.288580676388,603.97
2021-01-01,620.1894722976888,599.270306554872,643.2498859301289,655.6587435065145,610.98
2021-02-01,620.334268324356,597.8966646954751,642.1262755679747,664.0289063366407,616.47183
2021-03-01,634.1909864907886,612.4688368715443,655.1356187705741,671.5890534090128,620.49087
2021-04-01,640.4745771054371,619.2938987339675,662.7149428234612,679.959216239139,622.6042
2021-05-01,648.912823593642,626.4705356595799,669.0169592827951,688.0593738166806,623.93434
2021-06-01,654.3680956060775,631.5681922972595,675.5127230101299,696.4295366468069,628.15482
2021-07-01,663.1742678562616,641.2436793268848,685.4141093814644,704.5296942243485,634.14463
2021-08-01,668.2401634474775,646.5418088042526,689.3653492233635,712.8998570544748,639.34371
2021-09-01,676.1416028542961,654.1480934658806,696.8308806689251,721.270019884601,650.25075
2021-10-01,685.7695250644869,662.7637393957867,706.9027188137843,729.3701774621426,663.60808
2021-11-01,692.643511670337,671.5667096447523,713.8181143739923,737.7403402922688,675.83
2021-12-01,702.6318668307033,680.6273984788855,724.1332051885823,745.8404978698104,689.48699
2022-01-01,712.9379895755733,689.4576799591429,733.0300316820981,754.2106606999367,702.52069
2022-02-01,721.3638095916823,701.071759355581,743.5476265570559,762.580823530063,717.07614
2022-03-01,729.9460243166617,708.4696161998393,750.1732717626562,770.140970602435,736.2733
2022-04-01,738.5747743496038,716.9853970912865,759.5382014786595,778.5111334325613,751.66069
2022-05-01,748.1455684717686,726.7576857147761,770.6489107267138,786.6112910101028,768.7698
2022-06-01,752.9651885137793,730.6277564858976,775.0577365257269,794.9814538402292,787.22617
2022-07-01,762.1688521650799,740.1844392506246,784.3931971571443,803.0816114177707,802.55722
2022-08-01,766.48559931296,747.3720375185088,788.0427241032686,811.4517742478969,779.91469
2022-09-01,773.3339256512879,750.9043495108281,795.255666064369,819.8219370780232,777.01744
2022-10-01,785.5448075423368,763.6019250942328,806.6858198280046,827.9220946555647,793.67754
2022-11-01,787.6918578451192,765.3165573615098,809.89633646841,836.292257485691,806.06319
2022-12-01,799.963380379523,778.7727318372382,821.7215548746049,844.3924150632326,811.86874
2023-01-01,813.3841369386638,790.3765696811773,835.4350926339473,852.7625778933589,824.52029
2023-02-01,830.2887688456658,809.2533118268623,852.1719141324642,861.1327407234851,833.65756
2023-03-01,840.9948499505595,819.3081263008952,861.6827193986281,868.6928877958572,853.03238
2023-04-01,852.744288777531,831.3346554901443,875.5724053785627,877.0630506259836,865.12698
2023-05-01,872.6856685262301,850.1030652279276,894.930886966349,885.1632082035251,877.47311
2023-06-01,885.7776244484456,865.009953848562,906.605029784157,893.5333710336514,886.82356
2023-07-01,895.4327435303111,874.8508788409672,915.6427944502437,901.6335286111929,898.73251
2023-08-01,898.9114852597437,877.4977355180747,918.8624133122198,910.0036914413191,912.78257
2023-09-01,910.7750074688504,888.5462208676075,931.4353705063638,918.3738542714453,930.17482
2023-10-01,926.0930982914971,903.4301554733214,947.5360247334655,926.474011848987,947.10817
2023-11-01,957.9529212164914,936.7574687577592,979.2702640087155,934.8441746791133,960.01382
2023-12-01,973.0951208997296,950.406232999006,993.7037550653437,942.9443322566549,979.04611
2024-01-01,990.268185543893,968.1276242084655,1011.7480634275031,951.3144950867811,995.00257
2024-02-01,1001.4371868074935,979.8300448021371,1024.6866748851733,959.6846579169073,1006.00166
2024-03-01,1011.2899217430084,989.8693481016733,1032.0765009825936,967.5148102418642,1018.02736
2024-04-01,1013.4236613278806,991.4588368754148,1034.373295187381,975.8849730719903,1025.39752
2024-05-01,1020.6276303619861,999.1432275063421,1042.3388192939683,983.9851306495319,1033.00377
2024-06-01,1025.0970436972234,1004.2725944546737,1047.2894287575748,992.3552934796583,1038.13018
2024-07-01,1033.8210148241933,1011.6745378227176,1053.6885691536886,1000.4554510571999,1045.68437
2024-08-01,1037.8693872289202,1016.1713099232597,1059.7758188225177,1008.8256138873261,1054.24368
2024-09-01,1046.8592280789383,1023.6189273931998,1068.297906066941,1017.1957767174524,1061.03318
2024-10-01,1054.1489588974555,1032.0928402759612,1076.3421610772782,1025.295934294994,1068.89655
2024-11-01,1066.0603370680205,1045.4998086500393,1087.578640055488,1033.6660971251201,1072.3971
2024-12-01,1074.4339252464824,1052.009384946833,1095.6466314618613,1041.7662547026616,1080.55905
2025-01-01,1081.9695385859325,1060.0271372818727,1101.129813580428,1050.136417532788,1088.73184
2025-02-01,1088.699322100823,1068.6989559311955,1109.38079586317,1058.5065803629143,1093.15356
2025-03-01,1106.2772685998152,1085.0690714324799,1126.708811356714,1066.0667274352863,1098.84686
2025-04-01,1111.3294076232162,1089.386269530551,1133.6093867166132,1074.4368902654126,1104.37069
2025-05-01,1119.9559690074736,1097.727285789876,1141.4779663341728,1082.5370478429543,1110.49553
2025-06-01,1123.7522665370434,1101.3522104149865,1145.3215917238724,1090.9072106730805,1109.69493
2025-07-01,1132.9652674915335,1111.415714694742,1153.715937572839,1099.007368250622,1118.07972
2025-08-01,1136.2097593351461,1115.2993123347114,1158.2020869929997,1107.3775310807482,1124.95592
2025-09-01,1143.8828871640205,1122.8050225355814,1166.8004362509034,1115.7476939108747,1135.0724
2025-10-01,1154.366468921696,1132.9284841667668,1175.7754964041226,1123.8478514884162,1141.33565
2025-11-01,1155.9700598942504,1133.2847679574497,1178.4664348961178,1132.2180143185424,1150.01607
2025-12-01,1166.9849887056894,1144.8972224714644,1189.1397396041327,1140.318171896084,1157.91713
2026-01-01,1178.320800425001,1156.2862175739963,1199.552680729864,1148.6883347262103,1166.52407
2026-02-01,1186.781038157484,1163.4102074948028,1209.6712680606204,1157.0584975563365,1177.045
2026-03-01,1195.8914655343124,1173.929327896111,1216.6083936528223,1164.6186446287086,1186.33677
2026-04-01,1204.6507061143607,1181.2877470507517,1228.336675285694,1172.9888074588348,1194.36129
