horizon,mse,rmse,mae,mape,mdape,smape,coverage
213 days,1992372.4817680037,1411.5142513513647,1281.929475505294,0.14366416401384832,0.10768779402126707,0.1598126952410372,0.07692307692307693
214 days,2120790.8698120583,1456.2935383404192,1314.7670424717815,0.14403951552230712,0.10768779402126707,0.16022995305230625,0.07692307692307693
238 days,1813260.6262839744,1346.573661662805,1169.6326085151509,0.16742194812041203,0.12577576128794887,0.1892622512110682,0.07692307692307693
239 days,1726453.3590115833,1313.9457214860831,1116.0406278507626,0.13864060416501067,0.11332082529595991,0.15366525204353698,0.15384615384615385
240 days,1732902.1693352098,1316.3974207416277,1144.4854648826868,0.13057518926543396,0.11332082529595991,0.14321489571174212,0.11538461538461539
241 days,1850392.6819493694,1360.291395969764,1209.326940900131,0.13403685937796864,0.11851896984079896,0.1470617340135004,0.07692307692307693
242 days,2036117.950003546,1426.9260492413564,1281.059209957766,0.13507480841534497,0.12577576128794887,0.14823651551829087,0.07692307692307693
243 days,2204486.6935515124,1484.7513911599856,1329.0505952986568,0.13188814577600005,0.11851896984079896,0.1445691941573844,0.07692307692307693
244 days,2236960.5994620104,1495.647217582412,1336.923036969671,0.13111974352153305,0.11851896984079896,0.14371535415931375,0.07692307692307693
268 days,2291906.0845619985,1513.9042521117372,1362.1857464979175,0.15617809086437176,0.12577576128794887,0.17570890354632326,0.07692307692307693
269 days,1953978.9906334712,1397.847985523988,1231.1686463502788,0.14707512626819955,0.12577576128794887,0.1641718976369885,0.07692307692307693
270 days,2016223.0337707757,1419.937686580216,1258.6536934188773,0.13492687024681713,0.12681416278185226,0.14899779487516274,0.11538461538461539
271 days,2088873.3410776765,1445.2935138156804,1305.4920849953364,0.1380910696963413,0.12681416278185226,0.15237509471992772,0.07692307692307693
272 days,2248409.9199102307,1499.4698796275404,1370.0150985770877,0.13636522667916762,0.11851896984079896,0.1504173992140851,0.07692307692307693
273 days,2546859.5642269393,1595.8883307509143,1447.4228676825235,0.1368536226811486,0.12486811786655154,0.1509711322436911,0.07692307692307693
274 days,3085790.4517993038,1756.6418108992236,1556.5198364867454,0.14148710878658216,0.12486811786655154,0.15642872392506094,0.07692307692307693
275 days,3051960.683567954,1746.9861715445702,1548.5488317720558,0.1392920160451481,0.11426673177002394,0.15397021213560985,0.07692307692307693
299 days,2853013.854573654,1689.0866924387433,1492.7812409899914,0.16052168856908422,0.12486811786655154,0.18220487230293225,0.07692307692307693
300 days,2451694.7769411565,1565.7888672937856,1327.5133966760163,0.14660311566779574,0.12486811786655154,0.16280415239065096,0.07692307692307693
301 days,2575335.9209194044,1604.785319262176,1383.263038515378,0.14532411407027038,0.12486811786655154,0.16142126947512053,0.15384615384615385
302 days,2580533.8733500913,1606.4040193394972,1399.2257779653228,0.14833057844789266,0.13636345197971994,0.16473607383294375,0.11538461538461539
303 days,3224606.3944241265,1795.7189074084301,1598.9278519500008,0.15572500584033383,0.13636345197971994,0.17328436037411568,0.07692307692307693
304 days,3476305.4406158086,1864.485301796667,1664.9980751349613,0.1561515561797582,0.13636345197971994,0.17376369400357866,0.07692307692307693
305 days,4478716.636517843,2116.2978610105533,1851.360759249651,0.16622494872468666,0.14768038871752392,0.18590084008777874,0.07692307692307693
306 days,4261142.412098689,2064.253475738551,1799.3864297403002,0.16324022510243041,0.14768038871752392,0.18257420242695985,0.07692307692307693
328 days,3539366.8136315076,1881.320497318707,1620.272901934534,0.17280486066573622,0.14768038871752392,0.19507141177422888,0.07692307692307693
329 days,3239939.172130948,1799.9831032904026,1502.7859983231879,0.17284816715894685,0.14768038871752392,0.19511910429017298,0.15384615384615385
330 days,3235825.8696110127,1798.8401456524737,1507.4466084559303,0.16549455527630846,0.14768038871752392,0.18586373377089005,0.15384615384615385
331 days,3285590.8571025496,1812.6198876495175,1539.6740434647022,0.16552843120083238,0.14768038871752392,0.1858629413576118,0.15384615384615385
332 days,3469983.6982900305,1862.789225406361,1634.635014569249,0.1690001106306173,0.1376335205598129,0.1896131557336672,0.07692307692307693
333 days,3762834.263865481,1939.8026352867657,1725.2270941367426,0.167779134613526,0.1376335205598129,0.18821883899315583,0.07692307692307693
334 days,3576845.1359877707,1891.2549103671272,1677.754885848595,0.15874472732897982,0.12049076375753329,0.1778251512320047,0.07692307692307693
335 days,3453959.84287572,1858.483210275444,1649.216200834653,0.15746281256626438,0.12049076375753329,0.17639186082673913,0.07692307692307693
359 days,2308679.7915426544,1519.4340365881812,1393.8308215221077,0.1557842422675444,0.12049076375753329,0.1742452988585381,0.07692307692307693
360 days,2294303.309959747,1514.695781323678,1396.3683422851375,0.16860946532293367,0.1376335205598129,0.19052220414310986,0.07692307692307693
361 days,2244817.662258857,1498.2715582493238,1369.8562660537043,0.15583564450951629,0.1376335205598129,0.1745941431306728,0.07692307692307693
362 days,2319013.665075734,1522.830806450846,1402.3127505282732,0.14825393198131023,0.12838828332714686,0.1643336586524122,0.07692307692307693
363 days,2851569.3047745773,1688.659025610137,1540.5645413862223,0.15293099437010385,0.12838828332714686,0.16999510072155827,0.07692307692307693
364 days,3687848.832059415,1920.3772629510627,1722.840488431682,0.15798937888836592,0.12838828332714686,0.17606811639007597,0.07692307692307693
365 days,3402539.640557726,1844.5974196441146,1648.7043550229237,0.1514135227776824,0.11293764673800848,0.16871722842385659,0.07692307692307693
