horizon,mse,rmse,mae,mape,mdape,smape,coverage
75 days,213479.56009703342,462.03848335071984,299.9128723389952,0.05400416515483925,0.04459104201470777,0.05402092332513571,0.4594594594594595
76 days,213918.17151631237,462.5128879461765,301.1383666199223,0.055263268017108055,0.049771422960860436,0.055338000937695565,0.43243243243243246
77 days,214509.32964932875,463.1515191050643,302.782721560239,0.053680449428501247,0.04569377991164798,0.053647178409537206,0.43243243243243246
78 days,222227.77862429523,471.41041420856965,317.73484613649345,0.05549295707996033,0.049771422960860436,0.05531297294012962,0.40540540540540543
79 days,253598.5724414949,503.58571508879686,345.47942502410336,0.06087480832187386,0.053375109254576045,0.06141946761999618,0.3783783783783784
80 days,266792.8887085309,516.5199790022947,364.74443353735967,0.06238170147963891,0.05540472315547761,0.06268439689597854,0.3783783783783784
81 days,274826.19523213006,524.238681548901,374.8511332462566,0.06284260645692215,0.05540472315547761,0.06301996479870903,0.3783783783783784
82 days,276210.7485643601,525.557559706223,378.41624595941846,0.06083471123295246,0.05540472315547761,0.06079163690184577,0.3783783783783784
83 days,365614.3776158398,604.6605474279265,405.2819667231434,0.0625896887592916,0.053375109254576045,0.061611268023927385,0.40540540540540543
84 days,372024.63772588165,609.938224516124,410.4131404442224,0.06259853345792483,0.053375109254576045,0.06161944031172527,0.40540540540540543
85 days,387748.7091165806,622.694715825163,421.4173354159945,0.06368569998206994,0.053375109254576045,0.06263758389675522,0.43243243243243246
86 days,382530.31335872074,618.4903502551359,413.5554145216963,0.06281909108873593,0.053375109254576045,0.061738426928643605,0.44594594594594594
87 days,332820.7882280795,576.9062213463117,389.57687630185643,0.05972842437944404,0.04459104201470777,0.05897062122483279,0.47297297297297297
88 days,252981.82143649505,502.97298280970824,335.75100425660645,0.05290292439116831,0.03941564360495563,0.05272809479873144,0.5135135135135135
89 days,253183.3506647707,503.17328095276554,336.2736697362827,0.052896184829106255,0.03941564360495563,0.05270881617079766,0.5135135135135135
90 days,263811.58223804133,513.6259166339266,352.6776002152862,0.05451282080539247,0.04569377991164798,0.054230520529117074,0.4864864864864865
91 days,262932.45374054485,512.7693962597074,350.96453174084036,0.054283776475628216,0.04569377991164798,0.05401144616316848,0.4864864864864865
92 days,262248.8574265535,512.1023895927,349.8080264791001,0.054125197103000997,0.04569377991164798,0.05385440408250106,0.4864864864864865
103 days,262271.0265121192,512.1240343043072,350.89062071819603,0.056277455440545784,0.04668288616237837,0.056128987643448966,0.4594594594594595
104 days,263100.65881634975,512.9333863342781,354.0760535850581,0.05880969026800795,0.053375109254576045,0.05852122539290355,0.43243243243243246
105 days,256689.2663321542,506.6451088603878,344.55713930662245,0.05966058592941108,0.05540472315547761,0.05951124047717943,0.43243243243243246
106 days,251729.35204400978,501.72637168481566,334.0578557579585,0.05947724350070129,0.05540472315547761,0.05936800123094342,0.43243243243243246
107 days,253391.64013887575,503.3802142902279,339.07323665621857,0.06141192321854881,0.05870812495204588,0.06139009381806436,0.40540540540540543
108 days,255442.9633400698,505.41365567233123,342.901716415906,0.06035680417353664,0.05540472315547761,0.06027139394366267,0.40540540540540543
109 days,264377.38659704017,514.1764158312205,358.71517818394517,0.062142638432151086,0.056050469830533724,0.06188898823102381,0.3783783783783784
110 days,301797.5399690534,549.3610288044224,389.7394946342325,0.06812929871555133,0.05870812495204588,0.06870465598706098,0.35135135135135137
111 days,316620.47125580156,562.690386674414,409.7035546912894,0.06967349373426782,0.059660214712092444,0.06997065446528088,0.35135135135135137
112 days,325217.6156977802,570.2785422035273,421.0437048221703,0.0703599168388805,0.06791432228745496,0.07054621461336784,0.35135135135135137
113 days,349519.48936267575,591.2017332202906,443.4558782328973,0.07129660943178266,0.07287201238556505,0.07151901261854277,0.35135135135135137
114 days,403904.5784227976,635.5348758508833,451.0662390334032,0.06960316487895554,0.07287201238556505,0.06851592843212645,0.3783783783783784
115 days,412773.6190554008,642.4746057669523,458.1422720975976,0.06978912133288254,0.07287201238556505,0.0686889538216578,0.3783783783783784
116 days,424441.6608371644,651.4918731934915,465.70239542646055,0.07060610015509633,0.05870812495204588,0.069419204289218,0.40540540540540543
117 days,417660.6599875597,646.2667096389537,456.3326969103239,0.06950402338778941,0.05870812495204588,0.0682920393326779,0.43243243243243246
118 days,315467.6755290865,561.6650919623602,415.67463963987586,0.06405968152862626,0.056050469830533724,0.06361429082315388,0.4594594594594595
119 days,289328.5858616465,537.8927270949539,385.21123027457816,0.06044783929542544,0.04668288616237837,0.060159657889364684,0.5
120 days,277491.8318547495,526.7749347252102,373.71479531289066,0.058974005379526226,0.04668288616237837,0.05875646024417833,0.5135135135135135
121 days,289411.0047257443,537.9693343730145,393.01084262300355,0.06092418199774197,0.04768588164097081,0.060632511670677514,0.4864864864864865
